comments.timestamp,comments.comment,prediction,prediction_probabilite,Month,Year,Positive
2023-11-15 23:24:17+00:00,4:37 you mean you trade speed for more torque,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-15 08:11:27+00:00,Awesome. If itâ€™s not broken all the time. ğŸ¤£,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-07-26 23:23:39+00:00,"i just came here to say "" why would anyone click on this garbage"" thumbnail says enough to know it's clickbait, this crap should be able to be banned by us users",[[1.0]],[[0. 1.]],2023-07,2023,1.0
2023-07-23 20:42:39+00:00,"Some stereotypes are true.  I drive a lifted, bright yellow, Jeep, with huge tyres, small rims, lots of lights, and body armor.  I am often asked if I have a small penis.  My response is, ""I have to tell the world somehow."" Unfortunately, in reality, I really am only just a tiny bit above 8 inches. There may be some true to men compensating for small members.  Do not laugh at my small sausage.  Just admire my big jeep.",[[1.0]],[[0. 1.]],2023-07,2023,1.0
2023-07-22 11:27:18+00:00,Ok. Your jeep can climb on hills without road but who is really going there? How many? ğŸ˜Š,[[0.0]],[[1.000e+00 3.362e-42]],2023-07,2023,0.0
2023-07-05 07:20:00+00:00,This video is going to get people kill. Shame on you!,[[0.0]],[[1. 0.]],2023-07,2023,0.0
2023-07-02 02:45:42+00:00,"Rock walls, eh? Not as grippy as the other terrains. That was really tough. Wrangler is awesome.",[[0.0]],[[1. 0.]],2023-07,2023,0.0
2023-07-01 16:16:43+00:00,"Actually, it can come down to the spotter.  With a decent rig, all it takes is a good spotter and someone in the driver's seat that can follow directions.  The toughest obstacles I've climbed, i had no idea where i was.  I was focused on my spotters hand and only realized i was up when he dropped his hand.",[[0.0]],[[1. 0.]],2023-07,2023,0.0
2023-12-03 15:28:21+00:00,Just sad that these are so overpriced....throwing in a Hemi should not make a Jeep Wrangler cost $80k - $90k.,[[0.0]],[[1.0000000e+00 2.3405086e-08]],2023-12,2023,0.0
2023-12-02 02:43:02+00:00,Wow that's awesome absolutely  want one for sure,[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-01 14:40:18+00:00,steering is crazy loose,[[0.0]],[[1.000000e+00 6.371746e-11]],2023-12,2023,0.0
2023-12-01 07:28:39+00:00,I want one so bad but they are freakin expensive.,[[0.0]],[[1.0000000e+00 4.8019487e-25]],2023-12,2023,0.0
2023-11-06 10:49:16+00:00,love the part where they told/show us how jeeps climb 90 angle,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-30 11:58:13+00:00,the only best jeep,[[0.0]],[[0.76860297 0.23139705]],2023-11,2023,0.0
2023-11-30 11:49:12+00:00,We did the same with designing and creating winter scenery AI artistic paintings and photos of Jeep Wrangler in our latest video on our channel.,[[1.0]],[[0. 1.]],2023-11,2023,1.0
2023-11-29 20:49:27+00:00,"Did I hear you say â€œan Jeepâ€ at 4:26?!?  ğŸ˜‚  Dude, itâ€™s A JEEP.",[[1.0]],[[1.1077532e-21 1.0000000e+00]],2023-11,2023,1.0
2023-11-29 10:35:49+00:00,"Only red cows left on n the US, that's why the interior ğŸ˜‚",[[0.0]],[[0.9965604  0.00343963]],2023-11,2023,0.0
2023-11-28 03:56:45+00:00,It's so sexy,[[0.0]],[[1.0000000e+00 4.8218604e-12]],2023-11,2023,0.0
2023-11-28 01:58:52+00:00,Nobody â€œdaily drivesâ€ like thatâ€¦ except some fool trying to prove a point dailyâ€¦he would never beat on it that hard if he owned it.,[[1.0]],[[0. 1.]],2023-11,2023,1.0
2023-11-28 01:51:32+00:00,bro that's right by my house we should link I'm trying to build my channel as well I have all the cool camera stuff drone 360 go pr ext,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-28 01:27:23+00:00,"The truest greatness lies in being kind, the truest wisdom in a happy mind.",[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-27 11:46:16+00:00,its still way overpriced..,[[0.0]],[[1.000000e+00 8.006713e-15]],2023-11,2023,0.0
2023-11-27 04:40:33+00:00,I donâ€™t like red interiors but silver exterior and the seats only being red looks fantastic.,[[0.0]],[[9.999646e-01 3.535625e-05]],2023-11,2023,0.0
2023-10-05 15:32:30+00:00,We don't have a lot of rocks to climb here in East Texas but we do have a lot of mud . I just bought a 2024 Subaru Outback it has,[[0.0]],[[1.0000000e+00 1.0031898e-31]],2023-10,2023,0.0
2023-11-27 02:55:06+00:00,New dash sure feels flimsy!,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-27 02:40:39+00:00,"I flew to Wixom, Michigan to pick up my â€˜22 Wrangler 392 AEV JL370. Itâ€™s got 7,600 miles on it now. Iâ€™ve tackled the Rubicon trail, Johnson Valley, Sand Hollow, and trails in Montana. Itâ€™s an incredible machine!",[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-26 05:37:48+00:00,"On todays episode, we horsebeat the shit out of a â€˜24 Rubicon 392.  On a side note, seems like this Wrangler would be ALOT more fun with a MANUAL TRANSMISSION.",[[1.0]],[[4.2701315e-23 1.0000000e+00]],2023-11,2023,1.0
2022-04-14 10:02:49+00:00,Those launches are insane ğŸ˜±,[[0.0]],[[1. 0.]],2022-04,2022,0.0
2023-11-28 19:23:38+00:00,That trackhawk is a beast,[[0.0]],[[9.9999893e-01 1.1192161e-06]],2023-11,2023,0.0
2023-11-26 18:42:29+00:00,Even in the rain,[[0.0]],[[1.0000000e+00 2.7783252e-27]],2023-11,2023,0.0
2023-11-26 11:50:44+00:00,It's a one man race,[[0.0]],[[1.0000000e+00 1.9038738e-37]],2023-11,2023,0.0
2023-11-24 21:02:52+00:00,nobody talking about the rs6?,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-23 23:28:43+00:00,These are just little short runs put it out on open highways most these cars  would leave that brick setting ğŸ˜‚,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-19 23:23:15+00:00,"either the hawk is a ""friend"" of the traffic light, or the other drivers are on the phone as they leave",[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-09-10 19:41:48+00:00,I couldnâ€™t watch past 2 minutes with that lisp,[[0.0]],[[1. 0.]],2023-09,2023,0.0
2023-11-15 18:02:20+00:00,good trackhawk but even better the driver. He kills everybody from the start.,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-14 12:15:27+00:00,That track is so short. Doesnâ€™t really let them open up.,[[0.0]],[[1.000000e+00 1.695617e-28]],2023-11,2023,0.0
2023-11-11 13:37:36+00:00,this is like a 1v1 in pickup basketball training,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-07 08:13:41+00:00,I have a 2019 trailhawk. This was fun to watch.,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-06 19:40:05+00:00,That engine sound on the trackhawk though. Pure American Muscle ğŸ˜,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-02 09:57:42+00:00,1/8 of a mile lolz!,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-01 16:22:43+00:00,Moral of the story: if I don't get him off the line..then ur goose is cooked!,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-10-30 02:40:20+00:00,awful track,[[0.0]],[[1.000000e+00 2.915774e-11]],2023-10,2023,0.0
2023-10-24 00:09:24+00:00,The audio there nice yet I'm a Trackhawk fan,[[0.0]],[[1. 0.]],2023-10,2023,0.0
2023-10-16 11:05:58+00:00,"When Jeeps beat Lamborghinis, time to get a Jeep.",[[0.0]],[[1.00e+00 4.55e-43]],2023-10,2023,0.0
2023-09-05 20:15:14+00:00,Stop lying.  You are a liar.,[[0.0]],[[1. 0.]],2023-09,2023,0.0
2023-12-02 00:05:01+00:00,So youâ€™re telling me my Willyâ€™s with the recon pack can fit this setup?,[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-01 11:41:45+00:00,Hidden speed traps that can get solved with clear skate boarder tape because boys and girls y'all going to thank me for the jem I dropped on you . But this idiot is going where on this over priced Jeep Jk cool finally got a v8 that's cause to f$@k everyone without kissing them,[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-11-26 00:06:39+00:00,Love the built. I also have a modded Jeep and Iâ€™m trying to some ideas to make a video like this,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-13 11:32:51+00:00,Would be great if you install a Buldozer Wheel.ğŸ˜…ğŸ˜Š,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-11 23:15:37+00:00,How come you can use the stock suspension  i search and it's says you only can use max a 33sğŸ¤”,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-10-30 13:59:39+00:00,Can u used that in sandy  or snowy I don't think so.,[[0.0]],[[1. 0.]],2023-10,2023,0.0
2023-10-24 02:29:23+00:00,Itâ€™s a beast but itâ€™s also a four door. ğŸ˜¢ put that v8 in a 2!!!,[[0.0]],[[1. 0.]],2023-10,2023,0.0
2023-10-14 04:30:43+00:00,The most importante is the engineâ€¦ wich one does it have?,[[0.0]],[[1. 0.]],2023-10,2023,0.0
2023-10-12 05:10:01+00:00,"Okay Pretty Sweet Ride like the 38s tho, Dam Sexy!",[[0.0]],[[1. 0.]],2023-10,2023,0.0
2023-10-04 04:42:31+00:00,That's a pure beast ....â¤love your videos brohğŸ«¶,[[0.0]],[[1.0000e+00 4.6499e-41]],2023-10,2023,0.0
2023-09-02 01:59:21+00:00,F1 cars can go upside down. Try that,[[0.0]],[[1.0000000e+00 3.8059743e-35]],2023-09,2023,0.0
2023-11-09 18:13:49+00:00,"How beautiful! What color code is it? I really like this color. Could you help tell me the color name or code, please? Thank u!",[[0.0]],[[1.0000000e+00 7.7963446e-20]],2023-11,2023,0.0
2023-11-08 13:57:15+00:00,What exterior color is this?,[[0.0]],[[1.0000000e+00 3.9454265e-18]],2023-11,2023,0.0
2023-10-17 17:18:36+00:00,Its not a 7 seater??,[[0.0]],[[1. 0.]],2023-10,2023,0.0
2023-10-13 02:33:28+00:00,"would love to upgrade my 2015 Limited to this but shit is like buying a small house, expensive for us middle class folks",[[1.0]],[[0. 1.]],2023-10,2023,1.0
2023-10-07 16:56:55+00:00,The two-tone with black top is a HORRIBLE forced for Arizona residents.  Whoever comes up with these colors paint schemes should find a new job!,[[1.0]],[[1.e-45 1.e+00]],2023-10,2023,1.0
2023-10-01 14:41:56+00:00,I think the 2024 Ford Everest...,[[0.0]],[[1. 0.]],2023-10,2023,0.0
2023-09-23 22:49:31+00:00,I love you and miss your beautiful family and friends and I love you. â¤ï¸ ğŸ˜ŠğŸ˜…ğŸ˜®ğŸ˜¢ğŸ‰ğŸ˜‚â¤,[[0.0]],[[1. 0.]],2023-09,2023,0.0
2023-09-09 14:14:18+00:00,What is the price?,[[0.0]],[[1.0000000e+00 2.8618155e-38]],2023-09,2023,0.0
2023-12-03 20:13:22+00:00,Enjoy every moment ğŸ––,[[0.0]],[[1.0000000e+00 3.8728894e-36]],2023-12,2023,0.0
2023-12-03 20:09:28+00:00,"Well was hoping to meet in Cornwall but hey have fun, the squeak ignore it just a stone probably in the front brake.",[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-08-06 22:55:31+00:00,Any 4x4 properly built can do that......,[[0.0]],[[1. 0.]],2023-08,2023,0.0
2023-12-03 20:09:14+00:00,"Who's helping you film,  Wrekitwren?",[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:58:35+00:00,Welcome to England. My home nation. Hope you have a nice time.,[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:56:16+00:00,"It is very gloomy in the UK in winter. I've had 60 years of itğŸ˜‚,and Yes,it is hard to be motivated when it is cold,wet and gloomy. That Abbey looks fab though never actually been there but hope to some time next year. Your hair looks greatğŸ§¡",[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:53:41+00:00,"Love the Jeep content. Nice mud driving, looked like you were having fun. Clunks in your drivetrain can mean a bad ujoint. It can leave you stranded. I'd fix that. Have fun, be safe.",[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:53:18+00:00,Whatâ€™s your favorite country youâ€™ve been to? Or city or state?â¤,[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:51:05+00:00,"I like how you're able to just get out there and do things, even when it scares you. Makes me start to think about my life. Maybe I should get a 90s jeep too lol",[[1.0]],[[0. 1.]],2023-12,2023,1.0
2023-12-03 19:46:14+00:00,hi Victoria nice to see you again hi from Norway,[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:46:00+00:00,"Great video, hope the jeep keeps going for you until you can get it fixed! ",[[0.0]],[[1.00000e+00 5.64266e-40]],2023-12,2023,0.0
2023-12-03 19:32:12+00:00,"Victoria, it's nice seeing you over the years.",[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:19:42+00:00,"Do you plan on bringing that Jeep back to the state's, or are you selling it once you leave the UK?",[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-08-03 03:47:35+00:00,"He forgot wheel size (complete wheel), smaller = more torque, larger = less torque.",[[0.0]],[[1. 0.]],2023-08,2023,0.0
2023-12-03 19:19:12+00:00,"Hi â— LÃ©elo ,you are in England I love to wash your journey it makes really intresting  ğŸ˜® You should work for geography explorer â¤ï¸ğŸ§¡ğŸ’›ğŸ’šğŸ’™ğŸ’ğŸ¤ğŸ’–",[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:06:53+00:00,"talk about ASIC miners, they can warm up a basement. Cryptocurrency ASIC mining machine produces tons of heat. They are noisy because of fan cooling systems. The model S19 is cheap because halving of rewards is happening in April 2024. Rewards cut in half. The T17 is the cheapest but produces 1735 watts of heat. The previous year the Antminer S9 that is the cheapest machine of all of them. Cryptocurrency + Heat = a better business. S9 is 1420 watts at 120v, the S19 is 240v at 2400watts. THey don't go in jeeps or any vehicules that I know of. But they would be good for your mental status if you ever come back to the same restaurants. Well...",[[0.0]],[[1. 0.]],2023-12,2023,0.0
2023-12-03 19:02:26+00:00,"It looked really hard navigating those narrow dirt roads! And added to that not knowing when next you could turn back if necessary or if you'd get stuck altogether. It's funny, though, I can't quite separate just that sort of countryside with how i imagine Tolkien's Shire. I half expected a grumpy hobbit landlord to come out of his hole and challenge your right of way. Though I'm sure you'd have charmed him soon enough and been invited for tea. ğŸ˜†",[[1.0]],[[0. 1.]],2023-12,2023,1.0
2023-07-29 16:03:15+00:00,â€œAlmost at 90 degreesâ€.  Idiot.  That actually quite an easy climb.,[[0.0]],[[9.9944824e-01 5.5170065e-04]],2023-07,2023,0.0
